J_Nombre,R_J_Nombre,R_nombre,PC_numero
thoward0,thoward0,Ropa_0_someone,837
thoward0,thoward0,Ropa_1_three,858
pattersongina1,pattersongina1,Ropa_0_teacher,155
pattersongina1,pattersongina1,Ropa_2_organization,430
oramirez2,oramirez2,Ropa_1_dinner,408
oramirez2,oramirez2,Ropa_2_letter,939
jessicaanderson3,jessicaanderson3,Ropa_0_do,660
jessicaanderson3,jessicaanderson3,Ropa_1_benefit,508
jessicaanderson3,jessicaanderson3,Ropa_2_type,188
brent294,brent294,Ropa_1_firm,208
brent294,brent294,Ropa_2_thus,108
lsanders5,lsanders5,Ropa_2_break,186
rogersjoshua6,rogersjoshua6,Ropa_0_there,30
rogersjoshua6,rogersjoshua6,Ropa_1_old,646
rogersjoshua6,rogersjoshua6,Ropa_2_after,506
jennifer907,jennifer907,Ropa_0_agency,115
jennifer907,jennifer907,Ropa_2_still,858
gthompson8,gthompson8,Ropa_0_build,839
gthompson8,gthompson8,Ropa_2_fact,485
williamsryan9,williamsryan9,Ropa_0_skin,955
moorechristopher10,moorechristopher10,Ropa_0_firm,564
moorechristopher10,moorechristopher10,Ropa_2_bill,877
katrinaadams11,katrinaadams11,Ropa_0_school,402
katrinaadams11,katrinaadams11,Ropa_1_manage,382
katrinaadams11,katrinaadams11,Ropa_2_happen,56
guerrerosteven12,guerrerosteven12,Ropa_0_member,622
guerrerosteven12,guerrerosteven12,Ropa_1_baby,171
guerrerosteven12,guerrerosteven12,Ropa_2_court,449
daniel6313,daniel6313,Ropa_0_toward,679
gtaylor14,gtaylor14,Ropa_0_power,862
gtaylor14,gtaylor14,Ropa_1_family,867
gtaylor14,gtaylor14,Ropa_2_available,289
lharris15,lharris15,Ropa_0_to,702
lharris15,lharris15,Ropa_1_economic,728
lharris15,lharris15,Ropa_2_break,659
vjensen16,vjensen16,Ropa_0_town,211
vjensen16,vjensen16,Ropa_2_admit,388
mullinswyatt17,mullinswyatt17,Ropa_0_everyone,690
mullinswyatt17,mullinswyatt17,Ropa_1_friend,895
mullinswyatt17,mullinswyatt17,Ropa_2_economy,224
burnetteric18,burnetteric18,Ropa_0_close,571
burnetteric18,burnetteric18,Ropa_1_because,241
burnetteric18,burnetteric18,Ropa_2_capital,746
cody7919,cody7919,Ropa_2_even,37
thoover20,thoover20,Ropa_0_must,171
thoover20,thoover20,Ropa_2_better,331
ncampbell21,ncampbell21,Ropa_0_statement,978
ncampbell21,ncampbell21,Ropa_1_probably,845
ncampbell21,ncampbell21,Ropa_2_another,177
steven6422,steven6422,Ropa_1_rule,171
ogates23,ogates23,Ropa_2_between,561
websterjessica24,websterjessica24,Ropa_0_leader,272
websterjessica24,websterjessica24,Ropa_1_act,442
websterjessica24,websterjessica24,Ropa_2_address,719
edward4825,edward4825,Ropa_1_support,558
vincent3726,vincent3726,Ropa_0_born,849
kayla7827,kayla7827,Ropa_2_notice,956
bobby6628,bobby6628,Ropa_0_door,992
bobby6628,bobby6628,Ropa_1_choose,573
bobby6628,bobby6628,Ropa_2_cut,383
amymcdonald29,amymcdonald29,Ropa_1_pressure,542
amymcdonald29,amymcdonald29,Ropa_2_article,503
samantha6330,samantha6330,Ropa_0_expect,816
samantha6330,samantha6330,Ropa_1_movement,466
samantha6330,samantha6330,Ropa_2_among,676
william7831,william7831,Ropa_0_his,253
william7831,william7831,Ropa_1_table,135
william7831,william7831,Ropa_2_later,266
nicholasjones32,nicholasjones32,Ropa_0_lose,802
nicholasjones32,nicholasjones32,Ropa_1_American,837
milesdiane33,milesdiane33,Ropa_1_ten,466
milesdiane33,milesdiane33,Ropa_2_where,195
ramirezchristine34,ramirezchristine34,Ropa_0_executive,666
ramirezchristine34,ramirezchristine34,Ropa_1_marriage,332
garciabenjamin35,garciabenjamin35,Ropa_0_air,820
garciabenjamin35,garciabenjamin35,Ropa_2_identify,855
brian2336,brian2336,Ropa_0_performance,108
brian2336,brian2336,Ropa_1_here,905
brian2336,brian2336,Ropa_2_specific,271
ericcochran37,ericcochran37,Ropa_0_here,343
ericcochran37,ericcochran37,Ropa_1_bag,709
ericcochran37,ericcochran37,Ropa_2_certain,846
kim1338,kim1338,Ropa_0_bed,828
kim1338,kim1338,Ropa_1_role,226
kim1338,kim1338,Ropa_2_Republican,324
walter9839,walter9839,Ropa_1_reach,784
walter9839,walter9839,Ropa_2_order,831
halljames41,halljames41,Ropa_0_off,853
halljames41,halljames41,Ropa_2_everybody,866
victoriaadams42,victoriaadams42,Ropa_0_add,542
victoriaadams42,victoriaadams42,Ropa_1_claim,148
davidcollier43,davidcollier43,Ropa_1_mother,970
davidcollier43,davidcollier43,Ropa_2_record,317
john5644,john5644,Ropa_0_point,113
john5644,john5644,Ropa_2_image,760
reginaanderson45,reginaanderson45,Ropa_0_image,843
reginaanderson45,reginaanderson45,Ropa_1_nice,587
jaustin46,jaustin46,Ropa_0_foot,568
jaustin46,jaustin46,Ropa_1_process,196
harriscarrie47,harriscarrie47,Ropa_0_page,513
harriscarrie47,harriscarrie47,Ropa_1_likely,465
harriscarrie47,harriscarrie47,Ropa_2_can,968
joshua1448,joshua1448,Ropa_1_sure,655
christopher5349,christopher5349,Ropa_0_policy,549
christopher5349,christopher5349,Ropa_1_yet,613
christopher5349,christopher5349,Ropa_2_plant,264
htapia50,htapia50,Ropa_0_fast,511
htapia50,htapia50,Ropa_1_science,292
ashley0651,ashley0651,Ropa_0_minute,239
ashley0651,ashley0651,Ropa_1_moment,772
ashley0651,ashley0651,Ropa_2_identify,891
gabrielavillarreal52,gabrielavillarreal52,Ropa_0_more,214
gabrielavillarreal52,gabrielavillarreal52,Ropa_1_director,382
gabrielavillarreal52,gabrielavillarreal52,Ropa_2_without,366
stephanieflores54,stephanieflores54,Ropa_1_bit,358
stephanieflores54,stephanieflores54,Ropa_2_create,305
kpratt56,kpratt56,Ropa_1_minute,642
kpratt56,kpratt56,Ropa_2_nearly,517
nancy7857,nancy7857,Ropa_0_politics,844
nancy7857,nancy7857,Ropa_1_Congress,986
nancy7857,nancy7857,Ropa_2_realize,829
tammiebuck58,tammiebuck58,Ropa_0_baby,608
gkrause59,gkrause59,Ropa_0_actually,143
gkrause59,gkrause59,Ropa_1_total,26
gkrause59,gkrause59,Ropa_2_them,718
willie4660,willie4660,Ropa_1_defense,633
ebony8261,ebony8261,Ropa_0_marriage,781
ebony8261,ebony8261,Ropa_1_assume,879
ebony8261,ebony8261,Ropa_2_around,663
ddiaz62,ddiaz62,Ropa_1_outside,819
ddiaz62,ddiaz62,Ropa_2_north,900
april9363,april9363,Ropa_0_huge,752
april9363,april9363,Ropa_1_soldier,401
april9363,april9363,Ropa_2_strong,675
brian8464,brian8464,Ropa_0_newspaper,776
brian8464,brian8464,Ropa_1_name,521
brian8464,brian8464,Ropa_2_guy,49
ytaylor65,ytaylor65,Ropa_0_western,596
ytaylor65,ytaylor65,Ropa_1_gun,7
ytaylor65,ytaylor65,Ropa_2_weight,778
gsummers66,gsummers66,Ropa_0_my,861
gsummers66,gsummers66,Ropa_1_test,753
uarroyo67,uarroyo67,Ropa_0_individual,668
uarroyo67,uarroyo67,Ropa_2_protect,652
xkennedy68,xkennedy68,Ropa_0_energy,956
xkennedy68,xkennedy68,Ropa_1_plant,335
xkennedy68,xkennedy68,Ropa_2_ago,581
pgiles69,pgiles69,Ropa_1_able,228
pgiles69,pgiles69,Ropa_2_team,520
oliverrachael70,oliverrachael70,Ropa_0_military,264
oliverrachael70,oliverrachael70,Ropa_1_anything,456
oliverrachael70,oliverrachael70,Ropa_2_mission,428
hamiltonjoel71,hamiltonjoel71,Ropa_0_scientist,350
hamiltonjoel71,hamiltonjoel71,Ropa_2_me,155
connieswanson72,connieswanson72,Ropa_0_dark,961
connieswanson72,connieswanson72,Ropa_1_street,279
rogersstephanie73,rogersstephanie73,Ropa_0_practice,655
rogersstephanie73,rogersstephanie73,Ropa_1_among,336
rogersstephanie73,rogersstephanie73,Ropa_2_give,409
evelynwhitney74,evelynwhitney74,Ropa_0_make,794
evelynwhitney74,evelynwhitney74,Ropa_1_with,827
evelynwhitney74,evelynwhitney74,Ropa_2_need,321
harristaylor75,harristaylor75,Ropa_0_six,200
harristaylor75,harristaylor75,Ropa_1_must,331
harristaylor75,harristaylor75,Ropa_2_share,345
melissaperez76,melissaperez76,Ropa_1_wish,901
cprice77,cprice77,Ropa_0_Democrat,657
cprice77,cprice77,Ropa_1_by,980
cprice77,cprice77,Ropa_2_let,270
ginamckenzie78,ginamckenzie78,Ropa_0_may,153
ginamckenzie78,ginamckenzie78,Ropa_1_ever,597
ginamckenzie78,ginamckenzie78,Ropa_2_federal,667
coxbradley79,coxbradley79,Ropa_0_people,586
coxbradley79,coxbradley79,Ropa_1_compare,308
coxbradley79,coxbradley79,Ropa_2_main,735
pamela5580,pamela5580,Ropa_0_plant,397
pamela5580,pamela5580,Ropa_1_site,518
johnsonwilliam81,johnsonwilliam81,Ropa_0_front,262
johnsonwilliam81,johnsonwilliam81,Ropa_2_gas,807
shawn7182,shawn7182,Ropa_1_relate,850
shawn7182,shawn7182,Ropa_2_upon,135
robert9484,robert9484,Ropa_0_no,578
robert9484,robert9484,Ropa_1_consumer,220
robert9484,robert9484,Ropa_2_day,766
jordan7685,jordan7685,Ropa_1_Democrat,259
jordan7685,jordan7685,Ropa_2_lot,361
belldonald86,belldonald86,Ropa_0_state,796
belldonald86,belldonald86,Ropa_1_cultural,729
gwebb88,gwebb88,Ropa_0_brother,63
gwebb88,gwebb88,Ropa_1_share,195
gwebb88,gwebb88,Ropa_2_have,793
dcantrell89,dcantrell89,Ropa_1_throw,916
helliott90,helliott90,Ropa_1_source,554
helliott90,helliott90,Ropa_2_wish,732
amanda9091,amanda9091,Ropa_0_boy,674
amanda9091,amanda9091,Ropa_1_fire,852
amanda9091,amanda9091,Ropa_2_red,222
jessicaburton92,jessicaburton92,Ropa_0_goal,39
jessicaburton92,jessicaburton92,Ropa_1_sometimes,95
jessicaburton92,jessicaburton92,Ropa_2_until,885
inolan93,inolan93,Ropa_0_rest,9
inolan93,inolan93,Ropa_1_Mrs,696
inolan93,inolan93,Ropa_2_we,712
nataliereyes95,nataliereyes95,Ropa_0_threat,173
nataliereyes95,nataliereyes95,Ropa_1_poor,999
nataliereyes95,nataliereyes95,Ropa_2_industry,997
gluna96,gluna96,Ropa_1_four,752
tcole97,tcole97,Ropa_0_of,680
tcole97,tcole97,Ropa_1_rich,533
robertallen98,robertallen98,Ropa_1_we,655
robertallen98,robertallen98,Ropa_2_term,633
livingstonalyssa99,livingstonalyssa99,Ropa_1_collection,967
livingstonalyssa99,livingstonalyssa99,Ropa_2_middle,987
smithsara100,smithsara100,Ropa_0_rock,908
smithsara100,smithsara100,Ropa_1_help,401
smithsara100,smithsara100,Ropa_2_avoid,191
jeremy56101,jeremy56101,Ropa_0_education,759
jeremy56101,jeremy56101,Ropa_1_budget,830
jeremy56101,jeremy56101,Ropa_2_Mrs,323
crystaltorres102,crystaltorres102,Ropa_1_group,143
crystaltorres102,crystaltorres102,Ropa_2_sure,797
cduarte103,cduarte103,Ropa_0_seem,701
cduarte103,cduarte103,Ropa_2_paper,598
esosa104,esosa104,Ropa_0_still,811
esosa104,esosa104,Ropa_2_apply,189
kristin10105,kristin10105,Ropa_1_fire,423
kristin10105,kristin10105,Ropa_2_nice,608
paigele106,paigele106,Ropa_0_no,19
paigele106,paigele106,Ropa_2_whether,201
harriserin107,harriserin107,Ropa_1_maybe,562
harriserin107,harriserin107,Ropa_2_him,215
becky96108,becky96108,Ropa_0_sure,859
becky96108,becky96108,Ropa_1_happen,101
becky96108,becky96108,Ropa_2_art,813
steven41109,steven41109,Ropa_0_information,703
lisamckenzie110,lisamckenzie110,Ropa_0_successful,518
lisamckenzie110,lisamckenzie110,Ropa_1_far,371
lisamckenzie110,lisamckenzie110,Ropa_2_both,253
wreynolds111,wreynolds111,Ropa_2_exist,51
stewartjose112,stewartjose112,Ropa_0_short,221
stewartjose112,stewartjose112,Ropa_1_understand,157
stewartjose112,stewartjose112,Ropa_2_ok,613
bwhite113,bwhite113,Ropa_0_let,20
bwhite113,bwhite113,Ropa_1_feel,20
hvalencia114,hvalencia114,Ropa_2_understand,878
ywright115,ywright115,Ropa_0_table,794
ywright115,ywright115,Ropa_1_budget,455
ywright115,ywright115,Ropa_2_return,868
browncorey116,browncorey116,Ropa_0_rather,463
browncorey116,browncorey116,Ropa_2_lawyer,714
posborne117,posborne117,Ropa_0_though,589
carlsonchristopher118,carlsonchristopher118,Ropa_0_subject,610
carlsonchristopher118,carlsonchristopher118,Ropa_2_forget,677
wendyochoa119,wendyochoa119,Ropa_0_recognize,172
brian13120,brian13120,Ropa_0_ball,110
brian13120,brian13120,Ropa_2_form,393
jacobpeterson121,jacobpeterson121,Ropa_0_rise,650
jacobpeterson121,jacobpeterson121,Ropa_1_thus,347
jacobpeterson121,jacobpeterson121,Ropa_2_anything,433
vasquezantonio122,vasquezantonio122,Ropa_0_high,385
vasquezantonio122,vasquezantonio122,Ropa_1_attack,220
vasquezantonio122,vasquezantonio122,Ropa_2_everyone,70
terribarnes123,terribarnes123,Ropa_0_leader,470
terribarnes123,terribarnes123,Ropa_1_fund,607
terribarnes123,terribarnes123,Ropa_2_yard,900
tuckerjudith124,tuckerjudith124,Ropa_1_loss,810
tuckerjudith124,tuckerjudith124,Ropa_2_position,481
pamcoleman125,pamcoleman125,Ropa_0_matter,882
pamcoleman125,pamcoleman125,Ropa_1_media,457
pamcoleman125,pamcoleman125,Ropa_2_reduce,54
natalie90126,natalie90126,Ropa_0_stuff,132
natalie90126,natalie90126,Ropa_1_move,765
natalie90126,natalie90126,Ropa_2_TV,186
mmiller127,mmiller127,Ropa_0_less,329
laurastevenson128,laurastevenson128,Ropa_0_cost,52
laurastevenson128,laurastevenson128,Ropa_2_claim,369
ryanhartman129,ryanhartman129,Ropa_0_although,546
ryanhartman129,ryanhartman129,Ropa_2_degree,37
marisarobinson130,marisarobinson130,Ropa_1_air,722
marisarobinson130,marisarobinson130,Ropa_2_she,499
lauren91131,lauren91131,Ropa_0_technology,410
lauren91131,lauren91131,Ropa_1_send,96
lauren91131,lauren91131,Ropa_2_tough,31
rgarcia132,rgarcia132,Ropa_0_wide,986
dnicholson133,dnicholson133,Ropa_1_exist,248
weberethan134,weberethan134,Ropa_0_site,272
jonesbrandy135,jonesbrandy135,Ropa_0_surface,165
jonesbrandy135,jonesbrandy135,Ropa_1_plant,215
jonesbrandy135,jonesbrandy135,Ropa_2_modern,477
mgonzalez136,mgonzalez136,Ropa_0_check,444
mgonzalez136,mgonzalez136,Ropa_2_order,72
stephen17137,stephen17137,Ropa_1_market,672
stephen17137,stephen17137,Ropa_2_product,76
michaelhouston138,michaelhouston138,Ropa_0_phone,473
michaelhouston138,michaelhouston138,Ropa_1_book,843
michaelhouston138,michaelhouston138,Ropa_2_section,183
george40139,george40139,Ropa_0_yourself,804
george40139,george40139,Ropa_1_book,589
george40139,george40139,Ropa_2_focus,799
derek61140,derek61140,Ropa_0_see,137
derek61140,derek61140,Ropa_1_sell,295
derek61140,derek61140,Ropa_2_think,989
xflores141,xflores141,Ropa_0_stuff,856
dtran142,dtran142,Ropa_2_official,115
henrymelissa143,henrymelissa143,Ropa_0_go,530
henrymelissa143,henrymelissa143,Ropa_1_where,423
tonya49144,tonya49144,Ropa_0_also,245
tonya49144,tonya49144,Ropa_1_travel,638
jessicaellis145,jessicaellis145,Ropa_0_radio,506
jessicaellis145,jessicaellis145,Ropa_1_week,363
stuartjacob146,stuartjacob146,Ropa_1_between,558
lisa26147,lisa26147,Ropa_2_world,797
aliciahernandez148,aliciahernandez148,Ropa_0_yet,55
coleandrea149,coleandrea149,Ropa_2_operation,660
whitecarlos150,whitecarlos150,Ropa_0_human,296
whitecarlos150,whitecarlos150,Ropa_1_nice,986
whitecarlos150,whitecarlos150,Ropa_2_option,678
rorozco151,rorozco151,Ropa_0_stock,375
rorozco151,rorozco151,Ropa_1_yard,737
rorozco151,rorozco151,Ropa_2_its,436
james64152,james64152,Ropa_0_still,169
james64152,james64152,Ropa_1_single,742
umolina153,umolina153,Ropa_1_cut,418
umolina153,umolina153,Ropa_2_race,837
allisonmartinez154,allisonmartinez154,Ropa_2_expect,143
lgutierrez155,lgutierrez155,Ropa_0_admit,983
lgutierrez155,lgutierrez155,Ropa_2_commercial,603
felicia90156,felicia90156,Ropa_0_wall,31
felicia90156,felicia90156,Ropa_2_protect,982
greensamantha157,greensamantha157,Ropa_1_ago,635
etorres158,etorres158,Ropa_1_travel,871
etorres158,etorres158,Ropa_2_budget,21
tadams159,tadams159,Ropa_1_draw,656
katherine88160,katherine88160,Ropa_0_dog,473
katherine88160,katherine88160,Ropa_1_good,322
katherine88160,katherine88160,Ropa_2_trade,524
brenda39162,brenda39162,Ropa_1_part,135
brenda39162,brenda39162,Ropa_2_full,790
brooke62163,brooke62163,Ropa_1_nice,87
sherry81164,sherry81164,Ropa_2_often,84
sotojorge165,sotojorge165,Ropa_0_nothing,380
sotojorge165,sotojorge165,Ropa_2_Democrat,547
thomaswhite166,thomaswhite166,Ropa_0_effect,760
thomaswhite166,thomaswhite166,Ropa_1_stand,904
xwallace167,xwallace167,Ropa_1_agent,824
xwallace167,xwallace167,Ropa_2_score,631
sherryrose168,sherryrose168,Ropa_1_knowledge,14
ujohnson169,ujohnson169,Ropa_0_data,34
ujohnson169,ujohnson169,Ropa_1_baby,244
ujohnson169,ujohnson169,Ropa_2_head,364
hunter30171,hunter30171,Ropa_0_support,615
hunter30171,hunter30171,Ropa_1_style,531
hunter30171,hunter30171,Ropa_2_take,456
garciacraig172,garciacraig172,Ropa_1_yourself,310
stephen96173,stephen96173,Ropa_0_officer,21
stephen96173,stephen96173,Ropa_1_human,572
stephen96173,stephen96173,Ropa_2_garden,542
jessicaterry174,jessicaterry174,Ropa_0_simply,178
jessicaterry174,jessicaterry174,Ropa_1_us,665
jessicaterry174,jessicaterry174,Ropa_2_our,191
sanchezpatricia175,sanchezpatricia175,Ropa_0_result,929
sanchezpatricia175,sanchezpatricia175,Ropa_1_try,92
sanchezpatricia175,sanchezpatricia175,Ropa_2_yourself,836
emily19176,emily19176,Ropa_0_treat,928
emily19176,emily19176,Ropa_2_seem,70
carolinecalderon177,carolinecalderon177,Ropa_0_suddenly,717
carolinecalderon177,carolinecalderon177,Ropa_2_notice,693
zferrell178,zferrell178,Ropa_1_identify,219
zferrell178,zferrell178,Ropa_2_stay,656
vincentward179,vincentward179,Ropa_1_structure,214
fyang180,fyang180,Ropa_0_hour,230
fyang180,fyang180,Ropa_1_candidate,73
fyang180,fyang180,Ropa_2_realize,619
tyler10181,tyler10181,Ropa_0_wide,462
tyler10181,tyler10181,Ropa_2_real,616
daryl39182,daryl39182,Ropa_0_form,507
daryl39182,daryl39182,Ropa_2_above,902
meagan43183,meagan43183,Ropa_0_democratic,47
meagan43183,meagan43183,Ropa_1_here,399
meagan43183,meagan43183,Ropa_2_magazine,855
porterrichard184,porterrichard184,Ropa_1_during,802
porterrichard184,porterrichard184,Ropa_2_amount,371
mariah73185,mariah73185,Ropa_0_cell,843
mariah73185,mariah73185,Ropa_1_head,780
hpatel186,hpatel186,Ropa_0_everybody,741
natalie20187,natalie20187,Ropa_2_crime,902
smontgomery188,smontgomery188,Ropa_0_agree,944
smontgomery188,smontgomery188,Ropa_1_common,316
smontgomery188,smontgomery188,Ropa_2_military,480
dunnmatthew189,dunnmatthew189,Ropa_0_clearly,523
dunnmatthew189,dunnmatthew189,Ropa_1_section,344
dunnmatthew189,dunnmatthew189,Ropa_2_different,479
bartonjustin190,bartonjustin190,Ropa_0_bit,95
brownsabrina191,brownsabrina191,Ropa_0_claim,78
brownsabrina191,brownsabrina191,Ropa_2_country,503
dananelson192,dananelson192,Ropa_2_material,295
daniel99193,daniel99193,Ropa_1_different,416
daniel99193,daniel99193,Ropa_2_nice,370
ryanrodriguez194,ryanrodriguez194,Ropa_1_reason,424
ryanrodriguez194,ryanrodriguez194,Ropa_2_seek,821
jjohnson195,jjohnson195,Ropa_0_pattern,47
jjohnson195,jjohnson195,Ropa_2_three,18
susan90196,susan90196,Ropa_0_form,770
susan90196,susan90196,Ropa_2_hour,335
palmerfrank197,palmerfrank197,Ropa_1_dinner,674
thompsondeanna198,thompsondeanna198,Ropa_0_alone,351
thompsondeanna198,thompsondeanna198,Ropa_1_discover,207
thompsondeanna198,thompsondeanna198,Ropa_2_live,872
silvahannah199,silvahannah199,Ropa_0_player,413
silvahannah199,silvahannah199,Ropa_2_evidence,723
shieldstimothy200,shieldstimothy200,Ropa_0_dream,522
shieldstimothy200,shieldstimothy200,Ropa_1_determine,588
shieldstimothy200,shieldstimothy200,Ropa_2_enter,793
odomrachel201,odomrachel201,Ropa_0_manage,24
odomrachel201,odomrachel201,Ropa_1_amount,984
odomrachel201,odomrachel201,Ropa_2_know,938
nicolegreen202,nicolegreen202,Ropa_0_rule,253
nicolegreen202,nicolegreen202,Ropa_1_issue,52
johnholt203,johnholt203,Ropa_0_arm,796
johnholt203,johnholt203,Ropa_2_war,938
mvasquez204,mvasquez204,Ropa_0_maintain,186
mvasquez204,mvasquez204,Ropa_1_across,196
mvasquez204,mvasquez204,Ropa_2_take,279
ryancameron205,ryancameron205,Ropa_0_order,830
ryancameron205,ryancameron205,Ropa_1_may,938
ryancameron205,ryancameron205,Ropa_2_former,707
nguyenanthony206,nguyenanthony206,Ropa_0_physical,498
nguyenanthony206,nguyenanthony206,Ropa_2_response,715
cristina55207,cristina55207,Ropa_0_hospital,967
cristina55207,cristina55207,Ropa_1_believe,556
markphelps208,markphelps208,Ropa_0_mother,137
markphelps208,markphelps208,Ropa_1_money,543
wwilliams209,wwilliams209,Ropa_0_want,693
wwilliams209,wwilliams209,Ropa_1_tax,154
wwilliams209,wwilliams209,Ropa_2_yeah,896
fernandezlaura211,fernandezlaura211,Ropa_1_hour,907
fernandezlaura211,fernandezlaura211,Ropa_2_just,103
hughesjustin212,hughesjustin212,Ropa_0_concern,507
hughesjustin212,hughesjustin212,Ropa_2_member,673
sevans213,sevans213,Ropa_1_next,390
sevans213,sevans213,Ropa_2_paper,831
kellydonald214,kellydonald214,Ropa_0_condition,199
kellydonald214,kellydonald214,Ropa_1_purpose,821
kellydonald214,kellydonald214,Ropa_2_couple,435
smithrichard215,smithrichard215,Ropa_0_through,445
smithrichard215,smithrichard215,Ropa_1_yet,981
smithrichard215,smithrichard215,Ropa_2_guy,309
gambleadam216,gambleadam216,Ropa_0_push,559
gambleadam216,gambleadam216,Ropa_1_condition,540
gambleadam216,gambleadam216,Ropa_2_same,978
kevinrodgers217,kevinrodgers217,Ropa_0_baby,906
kevinrodgers217,kevinrodgers217,Ropa_1_argue,919
kevinrodgers217,kevinrodgers217,Ropa_2_list,524
andrew02218,andrew02218,Ropa_0_great,871
david10219,david10219,Ropa_1_foreign,798
david10219,david10219,Ropa_2_out,247
stewartrichard220,stewartrichard220,Ropa_0_strategy,234
stewartrichard220,stewartrichard220,Ropa_1_student,278
laura81221,laura81221,Ropa_0_senior,804
carolyn96222,carolyn96222,Ropa_0_alone,358
carolyn96222,carolyn96222,Ropa_1_control,537
carolyn96222,carolyn96222,Ropa_2_foreign,996
morgan99223,morgan99223,Ropa_1_animal,198
morgan99223,morgan99223,Ropa_2_guy,178
pettychristopher224,pettychristopher224,Ropa_0_opportunity,969
pettychristopher224,pettychristopher224,Ropa_1_television,773
pettychristopher224,pettychristopher224,Ropa_2_discover,551
amber46225,amber46225,Ropa_0_perhaps,599
amber46225,amber46225,Ropa_1_series,764
amber46225,amber46225,Ropa_2_foot,711
geraldwells226,geraldwells226,Ropa_1_policy,565
parkeradam227,parkeradam227,Ropa_1_force,189
parkeradam227,parkeradam227,Ropa_2_data,76
connie73228,connie73228,Ropa_0_and,993
connie73228,connie73228,Ropa_2_month,562
ashleyclayton229,ashleyclayton229,Ropa_0_put,852
ashleyclayton229,ashleyclayton229,Ropa_2_season,8
richardpatterson230,richardpatterson230,Ropa_0_series,728
richardpatterson230,richardpatterson230,Ropa_1_affect,287
richardpatterson230,richardpatterson230,Ropa_2_number,183
anita41231,anita41231,Ropa_0_involve,552
anita41231,anita41231,Ropa_1_service,392
anita41231,anita41231,Ropa_2_pick,291
christina57232,christina57232,Ropa_0_should,667
christina57232,christina57232,Ropa_1_away,681
kellifrederick233,kellifrederick233,Ropa_1_until,721
kellifrederick233,kellifrederick233,Ropa_2_million,730
xbaker234,xbaker234,Ropa_0_go,318
xbaker234,xbaker234,Ropa_1_not,992
xbaker234,xbaker234,Ropa_2_citizen,298
sarabrown235,sarabrown235,Ropa_0_his,223
sarabrown235,sarabrown235,Ropa_1_church,225
sarabrown235,sarabrown235,Ropa_2_set,736
igilbert236,igilbert236,Ropa_2_TV,218
wanda34237,wanda34237,Ropa_0_society,640
wanda34237,wanda34237,Ropa_2_nothing,305
shannonarmstrong238,shannonarmstrong238,Ropa_1_season,453
mistycarter239,mistycarter239,Ropa_0_television,497
mistycarter239,mistycarter239,Ropa_1_level,202
mistycarter239,mistycarter239,Ropa_2_pay,699
bestkimberly240,bestkimberly240,Ropa_2_rise,22
phillipsbenjamin241,phillipsbenjamin241,Ropa_0_else,914
phillipsbenjamin241,phillipsbenjamin241,Ropa_2_entire,267
buckjoseph242,buckjoseph242,Ropa_0_across,217
buckjoseph242,buckjoseph242,Ropa_1_side,999
sean89243,sean89243,Ropa_1_process,500
sean89243,sean89243,Ropa_2_development,694
campbellkathleen244,campbellkathleen244,Ropa_0_structure,723
campbellkathleen244,campbellkathleen244,Ropa_1_audience,578
michael03245,michael03245,Ropa_0_prepare,124
michael03245,michael03245,Ropa_1_bad,423
michael03245,michael03245,Ropa_2_conference,804
tommykelly246,tommykelly246,Ropa_0_matter,202
tommykelly246,tommykelly246,Ropa_1_ability,870
tommykelly246,tommykelly246,Ropa_2_purpose,840
jacquelinerichards247,jacquelinerichards247,Ropa_0_black,746
jacquelinerichards247,jacquelinerichards247,Ropa_1_official,1000
schultzjennifer248,schultzjennifer248,Ropa_0_foot,772
schultzjennifer248,schultzjennifer248,Ropa_2_lead,927
xpeterson249,xpeterson249,Ropa_0_know,853
xpeterson249,xpeterson249,Ropa_1_daughter,43
xpeterson249,xpeterson249,Ropa_2_music,632
lmartin250,lmartin250,Ropa_0_speech,225
lmartin250,lmartin250,Ropa_1_forget,30
lmartin250,lmartin250,Ropa_2_seat,686
msmith251,msmith251,Ropa_0_security,741
msmith251,msmith251,Ropa_1_media,248
msmith251,msmith251,Ropa_2_mind,784
